GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Battery_Utility_1h,2021,0.0
Battery_Utility_1h,2022,0.0
Battery_Utility_1h,2023,2.0
Battery_Utility_1h,2024,1.0
Battery_Utility_1h,2025,0.0
Battery_Utility_1h,2026,0.0
Battery_Utility_1h,2027,0.0
Battery_Utility_1h,2028,0.0
Battery_Utility_1h,2029,0.0
Battery_Utility_1h,2030,0.0
Battery_Utility_2h,2021,0.0
Battery_Utility_2h,2022,0.0
Battery_Utility_2h,2023,0.0
Battery_Utility_2h,2024,0.0
Battery_Utility_2h,2025,0.0
Battery_Utility_2h,2026,0.0
Battery_Utility_2h,2027,0.0
Battery_Utility_2h,2028,0.0
Battery_Utility_2h,2029,0.0
Battery_Utility_2h,2030,0.0
Battery_Utility_4h,2021,0.0
Battery_Utility_4h,2022,0.0
Battery_Utility_4h,2023,0.0
Battery_Utility_4h,2024,0.0
Battery_Utility_4h,2025,0.0
Battery_Utility_4h,2026,0.0
Battery_Utility_4h,2027,0.0
Battery_Utility_4h,2028,0.0
Battery_Utility_4h,2029,0.0
Battery_Utility_4h,2030,0.0
CCGT,2021,0.0
CCGT,2022,0.0
CCGT,2023,0.0
CCGT,2024,0.0
CCGT,2025,0.0
CCGT,2026,0.0
CCGT,2027,0.0
CCGT,2028,0.0
CCGT,2029,0.0
CCGT,2030,0.0
CCGT_CCS,2021,0.0
CCGT_CCS,2022,0.0
CCGT_CCS,2023,0.0
CCGT_CCS,2024,0.0
CCGT_CCS,2025,0.0
CCGT_CCS,2026,0.0
CCGT_CCS,2027,0.0
CCGT_CCS,2028,0.0
CCGT_CCS,2029,0.0
CCGT_CCS,2030,0.0
Diesel_GE,2003,76.0
Diesel_P&W,2003,148.2
Fueloil_MB&W,2003,47.4
NG_GT,2021,10.0
NG_GT,2022,0.0
NG_GT,2023,50.0
NG_GT,2024,0.0
NG_GT,2025,10.0
NG_GT,2026,0.0
NG_GT,2027,0.0
NG_GT,2028,0.0
NG_GT,2029,0.0
NG_GT,2030,10.0
PV_SonSalomo,2008,5.1
Seacable,2020,35.0
Seacable,2021,0.0
Seacable,2022,0.0
Seacable,2023,0.0
Seacable,2024,0.0
Seacable,2025,0.0
Seacable,2026,0.0
Seacable,2027,0.0
Seacable,2028,0.0
Seacable,2029,0.0
Seacable,2030,0.0
Utility_PV,2021,56.0
Utility_PV,2022,0.0
Utility_PV,2023,0.0
Utility_PV,2024,0.0
Utility_PV,2025,0.0
Utility_PV,2026,6.0
Utility_PV,2027,2.0
Utility_PV,2028,4.0
Utility_PV,2029,4.0
Utility_PV,2030,4.0
Wind_Mila,2004,3.2
Wind_OnShore,2021,72.45
Wind_OnShore,2022,6.9
Wind_OnShore,2023,3.45
Wind_OnShore,2024,13.8
Wind_OnShore,2025,0.0
Wind_OnShore,2026,0.0
Wind_OnShore,2027,0.0
Wind_OnShore,2028,0.0
Wind_OnShore,2029,0.0
Wind_OnShore,2030,0.0
